"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.343442410E-1,-8.530142903E-2,-1.783364713E-1,9.662393570E0,9.664415644E0
4.367836690E-1,-7.333092391E-2,-1.711541712E-1,9.674364090E0,9.676155834E0
4.392231480E-1,-5.417813361E-2,-1.735482514E-1,9.667181015E0,9.668890476E0
4.416626790E-1,-8.769552410E-2,-1.759423912E-1,9.664787292E0,9.666786417E0
4.441027830E-1,-8.290731907E-2,-1.711541712E-1,9.686334610E0,9.688201358E0
4.465421580E-1,-8.051322401E-2,-1.879128516E-1,9.662393570E0,9.664556023E0
4.489809080E-1,-7.093682885E-2,-1.879128516E-1,9.662393570E0,9.664480988E0
4.514203870E-1,-5.657223612E-2,-1.831246614E-1,9.671970367E0,9.673869228E0
4.538596060E-1,-7.572502643E-2,-1.855187416E-1,9.664787292E0,9.666864274E0
4.562983560E-1,-7.333092391E-2,-1.855187416E-1,9.681546211E0,9.683601173E0
4.587378350E-1,-9.727191925E-2,-1.903069317E-1,9.667181015E0,9.669543285E0
4.611775230E-1,-8.769552410E-2,-1.974892616E-1,9.662393570E0,9.664809466E0
4.636174710E-1,-7.811912894E-2,-1.735482514E-1,9.659998894E0,9.661873536E0
4.660568980E-1,-8.290731907E-2,-1.543954611E-1,9.688728333E0,9.690313116E0
4.684960640E-1,-8.051322401E-2,-1.735482514E-1,9.686334610E0,9.688223756E0
4.709358040E-1,-8.290731907E-2,-1.783364713E-1,9.664787292E0,9.666788036E0
4.733749710E-1,-6.375452876E-2,-1.711541712E-1,9.636057854E0,9.637788613E0
4.758139290E-1,-8.769552410E-2,-1.735482514E-1,9.681546211E0,9.683498673E0
4.782535120E-1,-8.051322401E-2,-1.831246614E-1,9.669576645E0,9.671645647E0
4.806931480E-1,-6.375452876E-2,-1.855187416E-1,9.674364090E0,9.676352742E0
4.831328350E-1,-6.136043742E-2,-1.950951517E-1,9.655211449E0,9.657377250E0
4.855720540E-1,-6.854273379E-2,-1.831246614E-1,9.662393570E0,9.664371798E0
4.880108040E-1,-7.572502643E-2,-1.831246614E-1,9.664787292E0,9.666818625E0
4.904501790E-1,-7.333092391E-2,-1.831246614E-1,9.674364090E0,9.676374973E0
4.928891370E-1,-5.417813361E-2,-1.783364713E-1,9.671970367E0,9.673766069E0
4.953277310E-1,-6.136043742E-2,-1.807305813E-1,9.659998894E0,9.661884251E0
4.977669500E-1,-6.614863127E-2,-1.831246614E-1,9.664787292E0,9.666748352E0
5.002061690E-1,-6.854273379E-2,-1.927010715E-1,9.662393570E0,9.664557999E0
5.026455440E-1,-5.657223612E-2,-1.711541712E-1,9.688728333E0,9.690405093E0
5.050846060E-1,-8.051322401E-2,-1.735482514E-1,9.676757812E0,9.678648828E0
5.075234600E-1,-6.614863127E-2,-1.783364713E-1,9.674364090E0,9.676233776E0
5.099632520E-1,-8.051322401E-2,-1.759423912E-1,9.669576645E0,9.671512322E0
5.124024710E-1,-8.290731907E-2,-1.950951517E-1,9.664787292E0,9.667111727E0
5.148410120E-1,-6.854273379E-2,-1.639718711E-1,9.662393570E0,9.664027855E0
5.172802310E-1,-7.333092391E-2,-1.759423912E-1,9.662393570E0,9.664273519E0
5.197194500E-1,-7.333092391E-2,-1.807305813E-1,9.667181015E0,9.669148346E0
5.221593980E-1,-8.530142903E-2,-2.046715319E-1,9.686334610E0,9.688872223E0
5.245992940E-1,-7.572502643E-2,-1.855187416E-1,9.667181015E0,9.669257482E0
5.270384080E-1,-8.051322401E-2,-1.783364713E-1,9.674364090E0,9.676342637E0
5.294785120E-1,-8.769552410E-2,-1.591836512E-1,9.671970367E0,9.673677725E0
5.319183560E-1,-6.854273379E-2,-1.759423912E-1,9.674364090E0,9.676206611E0
5.343576270E-1,-5.417813361E-2,-1.927010715E-1,9.676757812E0,9.678827963E0
5.367970020E-1,-6.136043742E-2,-1.759423912E-1,9.655211449E0,9.657009317E0
5.392361160E-1,-6.375452876E-2,-1.591836512E-1,9.664787292E0,9.666308369E0
5.416758040E-1,-6.614863127E-2,-1.903069317E-1,9.671970367E0,9.674068594E0
5.441152830E-1,-6.854273379E-2,-1.974892616E-1,9.695911407E0,9.698164679E0
5.465542940E-1,-7.093682885E-2,-1.950951517E-1,9.676757812E0,9.678984240E0
5.489940330E-1,-7.333092391E-2,-1.855187416E-1,9.681546211E0,9.683601173E0
5.514333040E-1,-7.572502643E-2,-1.855187416E-1,9.671970367E0,9.674045807E0
5.538721060E-1,-7.093682885E-2,-1.855187416E-1,9.674364090E0,9.676402729E0
5.563112730E-1,-7.811912894E-2,-1.615777910E-1,9.676757812E0,9.678421966E0
5.587504910E-1,-6.614863127E-2,-1.783364713E-1,9.669576645E0,9.671447256E0
5.611901270E-1,-4.938993603E-2,-1.927010715E-1,9.669576645E0,9.671622695E0
5.636293460E-1,-9.248372167E-2,-1.567895710E-1,9.667181015E0,9.668894714E0
5.660680440E-1,-6.614863127E-2,-1.735482514E-1,9.664787292E0,9.666571680E0
5.685075230E-1,-8.530142903E-2,-1.735482514E-1,9.664787292E0,9.666721716E0
5.709465850E-1,-8.051322401E-2,-1.759423912E-1,9.676757812E0,9.678692053E0
5.733855960E-1,-9.248372167E-2,-2.046715319E-1,9.669576645E0,9.672184664E0
5.758250230E-1,-7.572502643E-2,-1.807305813E-1,9.676757812E0,9.678741632E0
5.782641370E-1,-7.811912894E-2,-1.879128516E-1,9.657605171E0,9.659749038E0
5.807036160E-1,-7.093682885E-2,-1.807305813E-1,9.664787292E0,9.666737246E0
5.831426790E-1,-7.811912894E-2,-1.735482514E-1,9.657605171E0,9.659480278E0
5.855812730E-1,-7.093682885E-2,-1.855187416E-1,9.693517685E0,9.695552297E0
5.880208040E-1,-7.572502643E-2,-1.711541712E-1,9.667181015E0,9.668992544E0
5.904600230E-1,-5.896633118E-2,-1.759423912E-1,9.669576645E0,9.671356950E0
5.928986160E-1,-6.136043742E-2,-1.879128516E-1,9.669576645E0,9.671597016E0
5.953373660E-1,-7.811912894E-2,-1.759423912E-1,9.650423050E0,9.652342895E0
5.977763250E-1,-9.248372167E-2,-1.783364713E-1,9.667181015E0,9.669268117E0
6.002158560E-1,-8.051322401E-2,-1.879128516E-1,9.674364090E0,9.676523868E0
