"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.845481330E-1,-1.236070022E-1,-2.477653325E-1,9.650423050E0,9.654394408E0
4.869874040E-1,-1.212129071E-1,-2.453712225E-1,9.657605171E0,9.661482146E0
4.894265180E-1,-1.044542119E-1,-2.621299326E-1,9.703093529E0,9.707195620E0
4.918661020E-1,-1.044542119E-1,-2.262184322E-1,9.693517685E0,9.696719578E0
4.943053720E-1,-9.248372167E-2,-2.477653325E-1,9.703093529E0,9.706696911E0
4.967450600E-1,-9.008961916E-2,-2.310066223E-1,9.703093529E0,9.706261084E0
4.991845910E-1,-1.068483144E-1,-2.262184322E-1,9.679152489E0,9.682385256E0
5.016234450E-1,-1.116365045E-1,-2.405830324E-1,9.655211449E0,9.658853505E0
5.040631330E-1,-1.188188046E-1,-2.166420519E-1,9.638452530E0,9.641619099E0
5.065025600E-1,-9.008961916E-2,-2.310066223E-1,9.631270409E0,9.634461577E0
5.089414660E-1,-1.116365045E-1,-2.094597518E-1,9.624088287E0,9.627014670E0
5.113812060E-1,-1.068483144E-1,-2.094597518E-1,9.621694565E0,9.624567328E0
5.138212060E-1,-9.727191925E-2,-2.238243222E-1,9.616905212E0,9.620001300E0
5.162609970E-1,-9.966601431E-2,-2.405830324E-1,9.643239975E0,9.646755451E0
5.187002680E-1,-1.092424095E-1,-2.429771274E-1,9.648029327E0,9.651706672E0
5.211395390E-1,-1.164247096E-1,-2.525535226E-1,9.648029327E0,9.652036464E0
5.235796430E-1,-1.236070022E-1,-2.453712225E-1,9.688728333E0,9.692623093E0
5.260191220E-1,-1.020601094E-1,-2.310066223E-1,9.674364090E0,9.677659886E0
5.284580290E-1,-9.966601431E-2,-2.357948273E-1,9.727034569E0,9.730402562E0
5.308972470E-1,-9.487781674E-2,-2.381889224E-1,9.710275650E0,9.713659916E0
5.333364140E-1,-8.769552410E-2,-2.357948273E-1,9.712669373E0,9.715926927E0
5.357761540E-1,-9.487781674E-2,-2.118538618E-1,9.681546211E0,9.684328624E0
5.382155810E-1,-9.487781674E-2,-2.118538618E-1,9.664787292E0,9.667574529E0
5.406544870E-1,-1.212129071E-1,-2.262184322E-1,9.616905212E0,9.620329163E0
5.430944870E-1,-1.164247096E-1,-2.190361321E-1,9.619298935E0,9.622496741E0
5.455341740E-1,-1.164247096E-1,-2.166420519E-1,9.614511490E0,9.617656663E0
5.479730290E-1,-9.727191925E-2,-2.166420519E-1,9.619298935E0,9.622229867E0
5.504121430E-1,-8.290731907E-2,-2.238243222E-1,9.616905212E0,9.619866777E0
5.528513100E-1,-9.248372167E-2,-2.357948273E-1,9.624088287E0,9.627420620E0
5.552912060E-1,-9.487781674E-2,-2.286125422E-1,9.648029327E0,9.651203831E0
5.577306330E-1,-1.164247096E-1,-2.717063129E-1,9.662393570E0,9.666914116E0
5.601698520E-1,-1.116365045E-1,-2.621299326E-1,9.683939934E0,9.688130235E0
5.626098520E-1,-9.008961916E-2,-2.477653325E-1,9.724639893E0,9.728212829E0
5.650493830E-1,-6.854273379E-2,-2.549476326E-1,9.715063095E0,9.718649461E0
5.674886540E-1,-8.051322401E-2,-2.597358227E-1,9.707880974E0,9.711688735E0
5.699282370E-1,-7.333092391E-2,-2.501594424E-1,9.710275650E0,9.713774260E0
5.723676640E-1,-8.530142903E-2,-2.525535226E-1,9.676757812E0,9.680428781E0
5.748074560E-1,-9.966601431E-2,-2.405830324E-1,9.650423050E0,9.653935910E0
5.772467270E-1,-1.164247096E-1,-2.549476326E-1,9.633664131E0,9.637740275E0
5.796858410E-1,-1.044542119E-1,-2.477653325E-1,9.590570450E0,9.594338950E0
5.821261020E-1,-8.290731907E-2,-2.429771274E-1,9.597753525E0,9.601186605E0
